il,ad,kategori,etiketler,puan,yorum_sayisi,adres,telefon,fiyat,enlem,boylam,maps_url,foto_url,not
Bitlis,Bitlis Sos Dürüm,Türk restoranı,Döner,4.7,57,"Beşminare Mahallesi, TOKİ 4. Etap Girişi Cayhan Apt Altı No: 34, 13000 Bitlis Merkez/Bitlis",+90 546 760 00 13,,38.4796547,42.1670972,https://maps.google.com/?cid=6991263712320980896,,
Bitlis,Divan Ocakbaşı,Restoran,Kebap,4.4,62,"Hüsrev Paşa, Ahmet Eren Bulvarı No:9, 13000 Bitlis Merkez/Bitlis",+90 434 226 06 06,2,38.4219595,42.125023299999995,https://maps.google.com/?cid=2442956643547912631,,
Bolu,Yörem Mantı Unlu Mamüller,Mantıcı,Mantı,4.9,5677,"Tabaklar Mahallesi İzzet Baysal Cad, Tabaklar, Albay Sk. 12/C, 14100 Bolu Merkez/Bolu",+90 532 609 09 52,2,40.7312599,31.6040055,https://maps.google.com/?cid=9381415815243029326,,
Bolu,Bolu Hanzade Restaurant,Kaliteli yemek restoranı,Kaliteli yemek restoranı,4.8,4798,"Yöresel Lezzetler Noktası, Karaçayır, Şht. Selen Paşa Cd. 48/A, 14200 Bolu Merkez/Bolu",+90 374 606 03 60,2,40.7270847,31.604990999999995,https://maps.google.com/?cid=17429141191889350346,,
Bolu,BOLU ANTEP SOFRASI YÖRESEL LEZZETLERİ,Aile restoranı,Sulu Yemek,4.7,1976,"Tabaklar, Haznedarlar Sk. Parlak Apt No:34/A, 14100 Bolu Merkez/Bolu",+90 538 655 44 14,2,40.72885420000001,31.6028618,https://maps.google.com/?cid=11593396190052472840,,
Bolu,MAHMUT USTA Pide Lahmacun,Orta Doğu Restoranı,Lahmacun & Pide,4.7,1630,"Kültür, Cem Sultan Cd. No:11, 14300 Bolu Merkez/Bolu",+90 554 442 14 35,2,40.7426142,31.6060816,https://maps.google.com/?cid=2454966213382951318,,
Bolu,DKebap's,Kebap Restoranı,Kebap,4.7,1452,"Borazanlar, 401.sokak no:5, 14100 Bolu Merkez/Bolu",+90 532 294 30 36,2,40.73261,31.593995900000003,https://maps.google.com/?cid=14626534193537664245,,
Bolu,Grand Gurme,Restoran,Lokanta,4.4,1921,"Osmanlı konakları, Borazanlar, Mehmet Akif Ersoy Blv. 12C, 14100 Bolu Merkez/Bolu",+90 541 110 36 14,2,40.7335291,31.5877967,https://maps.google.com/?cid=13018377071870496518,,
Bolu,HANEDAN TAŞ KAVURMA,Restoran,Lokanta,4.8,459,"Ak-er apartmanı, Tabaklar, Börekciler Sk. No:5/A, 14100 Bolu Merkez/Bolu",+90 374 324 10 10,2,40.7308661,31.602859799999997,https://maps.google.com/?cid=4476104789204981606,,
Bolu,Çeşmi Cihan,Restoran,Lokanta,4.4,775,"Aşağısoku, Sanayi Sitesi 4.Blok No.4, 14300 Bolu Merkez/Bolu",+90 374 215 59 50,2,40.738061099999996,31.624625400000003,https://maps.google.com/?cid=15932315499152199849,,
Bolu,Tranç Bir Kavurma Hikayesi,Restoran,Lokanta,4.7,482,"Sağlık, Hekim Sk. No:9B D:14, 14200 Bolu Merkez/Bolu",+90 533 270 30 14,2,40.743415,31.609398700000003,https://maps.google.com/?cid=9518204439370348573,,
Bolu,Mutfak Sofya,Restoran,Lokanta,4.5,532,"Kılıçarslan, Muhsin Yazıcıoğlu Blv. Annem Apt A Blok No: 36/A 13, 14100 Bolu Merkez/Bolu",+90 544 183 14 28,2,40.7418628,31.566728299999998,https://maps.google.com/?cid=14984223328084613767,,
Burdur,Şişçi Musa Meşhur Şişçi Çorbacım,Restoran,Çorba,4.6,5282,"Aydınlıkevler, 6. Sokak Yeni sanayi sitesi No:37, 15100 Burdur Merkez/Burdur",+90 537 960 54 20,2,37.7458317,30.312826899999994,https://maps.google.com/?cid=4710800249763296333,,
Burdur,Burdur Şişçi Kadir Okan Özen 1985,Türk restoranı,Türk restoranı,4.5,4293,"Özgür, Cümbüşlü Cd. No:35, 15200 Burdur Merkez/Burdur",+90 248 212 47 20,2,37.7217305,30.287564399999994,https://maps.google.com/?cid=10170401052326408050,,
Burdur,Şişçi Salih,Restoran,Lokanta,4.6,2774,"Aydınlıkevler, Yeni sanayi sitesi, 15100 Burdur Merkez/Burdur",+90 543 604 81 42,2,37.7456241,30.312628499999995,https://maps.google.com/?cid=2973440820002107800,,
Burdur,ŞİŞÇİ HASAN,Restoran,Lokanta,4.3,2609,"Aydınlıkevler mahallesi yeni sanayi sitesi, Aydınlıkevler, 6. Sk. No:27, 15040 Burdur Merkez/Burdur",+90 248 252 84 28,2,37.745671099999996,30.312557199999997,https://maps.google.com/?cid=2770961491679481310,,
Burdur,Altay Pide,Orta Doğu Restoranı,Lahmacun & Pide,4.3,955,"No:/A, Çeşmedamı, Hükümet Cd. No:6, 15200 Burdur Merkez/Burdur",+90 248 234 28 66,2,37.717932,30.2830884,https://maps.google.com/?cid=8034550184847948345,,
Burdur,Kahyaoğlu Et Lokantası,Restoran,Et|Sulu Yemek,4.5,668,"Bahçelievler, Merkez, Stadyum Cd. No:3, 15200 Burdur Merkez/Burdur",+90 248 233 68 13,2,37.7189012,30.277496900000003,https://maps.google.com/?cid=5801097507886473514,,
Burdur,Bizim Şişçi,Türk restoranı,Türk restoranı,4.3,715,"Özgür, Mehmet Akif Cd. no/12, 15200 Burdur Merkez/Burdur",+90 248 233 29 33,2,37.7209097,30.288606799999997,https://maps.google.com/?cid=10830437912879180648,,
Burdur,Şişçi Ömür,Kebap Restoranı,Kebap,4.6,385,"Küçük sanayi sitesi 7.sokak, Sanayi, Cami Üstü no:52, 15040 Burdur Merkez/Burdur",+90 543 208 98 56,2,37.7459925,30.313228199999998,https://maps.google.com/?cid=5395559766632883323,,
Burdur,Ege Lokantası,Restoran,Sulu Yemek,4.3,480,"Yeni, Bayer Sk. No:6, 15100 Burdur Merkez/Burdur",+90 248 233 42 92,2,37.7208045,30.2898706,https://maps.google.com/?cid=12798655380071250763,,
Burdur,Şişçi Ahmet,Restoran,Lokanta,4.8,191,"Aydınlıkevler, Küçük Sanayiciler Sitesi, 15100 Burdur Merkez/Burdur",+90 531 291 72 41,2,37.7458272,30.312800499999994,https://maps.google.com/?cid=10426725667109144170,,
Bursa,Kebapçı Hüseyin Usta,Restoran,Kebap,4.6,18886,"Alacamescit, Tuz Pazarı Cd. 16/B, 16020 Osmangazi̇/Bursa",+90 224 220 12 29,2,40.184031,29.066723,https://maps.google.com/?cid=4161372189697954268,,
Bursa,Rumeli Kardeşler Sofrası,Restoran,Sulu Yemek,4.7,3291,"Gülbahçe, Vardar Cd. No:36, 16240 Osmangazi̇/Bursa",+90 224 252 05 27,2,40.1971741,29.0727196,https://maps.google.com/?cid=8725924997003672409,,
Bursa,"MERT Pideli Köfte. İskender kebap ,kebapci Kazim usta",Restoran,Kebap|Lahmacun & Pide|Köfte,4.8,2394,"Kayhan mah ünlü caddesi. 17, Kayıhan, Ünlü Cd. 17 a, 16270 Osmangazi̇/Bursa",+90 539 766 66 60,2,40.1821293,29.0690004,https://maps.google.com/?cid=11930066909880880947,,
Bursa,Fasulyeli,Restoran,Lokanta,4.3,3144,"Üçevler, Nilüfer Cd. No:52, 16120 Ni̇lüfer/Bursa",+90 224 441 61 61,2,40.203847599999996,28.9450696,https://maps.google.com/?cid=16096588855888057421,,
Bursa,Sanat Lokantası Bülent Şef,Restoran,Sulu Yemek,4.6,1819,"Üçevler, 84. Sk. No:24, 16100 Ni̇lüfer/Bursa",+90 547 156 16 16,2,40.1996195,28.9406738,https://maps.google.com/?cid=5146324260165206421,,
Bursa,Öz Kayıhan Pideli köfte,Kebap Restoranı,Kebap|Lahmacun & Pide|Köfte,4.9,636,"Kayıhan, Kayhan Cd. No:33, 16340 Osmangazi̇/Bursa",+90 539 601 98 29,2,40.184197,29.069622,https://maps.google.com/?cid=8198648476987335890,,
Bursa,BURSA DÖNER SOFRASI,Restoran,Döner|Sulu Yemek,4.7,541,"Bizerler İşhanı, Kayıhan, Kirişçikızı Sk. No:15/C, 16200 Osmangazi̇/Bursa",+90 532 325 34 66,2,40.1836491,29.0700292,https://maps.google.com/?cid=14590231490161912842,,
Bursa,Bir Esnaf Lokantası 1958,Restoran,Sulu Yemek,4.3,929,"Beşevler,Beşevler Sanayi Sitesi, Küçük Sanayi Camii yanı, Üçevler, 29. Sk. No:27, 16120 Ni̇lüfer/Bursa",+90 532 178 19 63,2,40.2065787,28.941863800000004,https://maps.google.com/?cid=15936670020034059376,,
Bursa,Zengin Lokantası,Restoran,Sulu Yemek,4.6,550,"Hürriyet, 5. Vatan Sk. No:3, 16170 Osmangazi̇/Bursa",+90 224 249 55 00,2,40.220994999999995,29.004620300000003,https://maps.google.com/?cid=7728497923982469767,,
Bursa,Nalbantoğlu Lokantası,Restoran,Sulu Yemek,4.6,529,"Koğukçınar, 1. Çınar Cd. No:6/A, 16240 Osmangazi̇/Bursa",+90 224 255 51 34,2,40.196942899999996,29.066534199999996,https://maps.google.com/?cid=9940637739308206161,,
Çanakkale,Soon More & More,Restoran,Lokanta,4.6,1132,"Hamidiye, Fatih Cd. 27C, 17100 Kepez/Çanakkale Merkez/Çanakkale",+90 530 015 03 20,,40.096220599999995,26.4083442,https://maps.google.com/?cid=10303662775478086447,,
Çanakkale,1986 Balıkevi,Restoran,Balık,4.6,1103,"Barbaros, Sarıçay Cd. No:67, 17020 Çanakkale Merkez/Çanakkale",+90 286 212 42 86,2,40.1428632,26.4038676,https://maps.google.com/?cid=5680561001552464547,,
Çanakkale,Doyum 1980,Restoran,Lokanta,4.3,1624,"Kemalpaşa, Cumhuriyet Blv. No:7/A, 17100 Çanakkale Merkez/Çanakkale",+90 286 217 48 10,2,40.148261,26.404541599999998,https://maps.google.com/?cid=14843161538091058978,,
Çanakkale,Kebap Yiyelim Ocakbaşı,Restoran,Kebap,4.6,762,"Barbaros, Atatürk Cd., 17020 Çanakkale Merkez/Çanakkale",+90 286 217 37 57,2,40.135747099999996,26.4083419,https://maps.google.com/?cid=6806324659357245729,,
Çanakkale,"Emniyet Restaurant - Kahvaltı, Çorba, Steak, Et, Kebap, Lahmacun, Pide",Restoran,Kebap|Çorba|Lahmacun & Pide,4.3,1090,"Cumhuriyet, İzmir Yolu 4.km, 17110 Kepez/Çanakkale Merkez/Çanakkale",+90 532 132 64 17,2,40.1097092,26.407223899999998,https://maps.google.com/?cid=18122333586727643255,,
Çanakkale,kanaat lokantası,Restoran,Sulu Yemek,4.7,385,"Kemalpaşa, Atatürk Cd. no:54 D:A, 17100 Çanakkale Merkez/Çanakkale",+90 286 213 88 17,2,40.146955299999995,26.408654199999997,https://maps.google.com/?cid=10471531880382041620,,
Çanakkale,Trakya Lezzet Durağı,Restoran,Lokanta,4.4,429,"KEMALPAŞA MAH. CUMHURİYET MEYDANI NO:32 Merkez, Kemalpaşa, 17010 Çanakkale Merkez/Çanakkale",+90 286 217 01 54,2,40.149766299999996,26.403280799999997,https://maps.google.com/?cid=687826166144071538,,
Çanakkale,Liman Restoran,Restoran,Lokanta,4.3,397,"Cumhuriyet, 17110 Kepez/Çanakkale Merkez/Çanakkale",+90 286 263 69 12,2,40.1011979,26.3827434,https://maps.google.com/?cid=12245906033986014112,,
Çanakkale,Köfteci Yaşar Usta | Paket Servisimiz Mevcuttur,Restoran,Köfte,4.9,164,"Barbaros, Mehmet Çavuş Sk. 1/A, 17020 Çanakkale Merkez/Çanakkale",+90 533 360 39 55,2,40.1412561,26.4076808,https://maps.google.com/?cid=17857034157758834574,,
Çanakkale,Çobanoğlu et lokantası,Restoran,Et|Sulu Yemek,4.7,195,"Kemalpaşa, Hasan Mevsuf Sk. No:46, 17000 Çanakkale Merkez/Çanakkale",+90 543 417 05 92,2,40.14759370000001,26.408277899999998,https://maps.google.com/?cid=8427775802507065356,,
Çankırı,Derya Lokantası Sefer Usta'nın yeri,Restoran,Sulu Yemek,4.6,1617,"Mimar Sinan, Bedesten Sk. No:27, 18100 Çankırı Merkez/Çankırı",+90 376 212 55 77,2,40.602018099999995,33.6179334,https://maps.google.com/?cid=18399679966117678512,,
Çankırı,Cengiz Ustanın Yeri,Kebap Restoranı,Kebap,4.9,381,"Abdulhalik Renda, Ankara Cd. No:28, 18200 Çankırı Merkez/Çankırı",+90 551 256 67 37,2,40.5916091,33.6206476,https://maps.google.com/?cid=2815345206921876253,,
Çankırı,İskilip Pide Salonu,Orta Doğu Restoranı,Lahmacun & Pide,4.6,450,"Yeni, Org. İsmail Hakkı Karadayı Blv. No:6, 18200 Çankırı Merkez/Çankırı",+90 376 213 36 86,2,40.601017899999995,33.6118035,https://maps.google.com/?cid=14828894165083521170,,
Çankırı,Çankırı Belediyesi Yöresel Mutfak Kültür Evi,Türk restoranı,Türk restoranı,4.4,393,"Karataş, Kayabaşı Cd. No:03, 18100 Çankırı Merkez/Çankırı",+90 376 213 14 18,2,40.603754699999996,33.6126188,https://maps.google.com/?cid=7632534486585366073,,
Çankırı,Osmanlı Lokantası,Restoran,Sulu Yemek,4.3,229,"Yeni, 18400 Ilgaz/Çankırı",+90 376 416 13 43,2,40.9248366,33.6247701,https://maps.google.com/?cid=16515193625661596886,,
Çankırı,Köz Döner 63 Urfa Lahmacun,Restoran,Lahmacun & Pide|Döner,4.3,158,"Buğday Pazarı, 18100 Çankırı Merkez/Çankırı",+90 532 178 45 18,2,40.5998277,33.622494100000004,https://maps.google.com/?cid=11285929932485135203,,
Çankırı,Sinan Usta Kokoreç,Aile restoranı,Aile restoranı,4.4,88,"Buğday Pazarı, Terminal Cd., 18100 Çankırı Merkez/Çankırı",,2,40.5977538,33.6198341,https://maps.google.com/?cid=12676981737532978029,,
Çankırı,Yemek Yemek Catering,Restoran,Lokanta,4.4,67,"Cumhuriyet, Selahattin İnal Sk. No:5C, 18100 Çankırı Merkez/Çankırı",,1,40.598826599999995,33.617067,https://maps.google.com/?cid=15405882702794217385,,
Çankırı,Pides,Restoran,Lahmacun & Pide,4.3,61,"Buğday Pazarı, Çarşamba Pazarı Cd. No: 4, 18100 Çankırı Merkez/Çankırı",+90 376 212 55 00,2,40.598428299999995,33.620895,https://maps.google.com/?cid=4326457617524989725,,
Çorum,Meşhur ASPAVA MUHAMMED,Restoran,Lokanta,4.6,4511,"Çepni, Çevre Yolu Blv. no:213/1, 19000 Çorum Merkez/Çorum",+90 541 363 71 35,2,40.5463172,34.9278275,https://maps.google.com/?cid=9990328440697688289,,
Çorum,Çorum Marmaris Döner,Restoran,Döner,4.7,2589,"Gülabibey, İnkılap Sk. No:37, 19100 Çorum Merkez/Çorum",+90 364 225 57 29,2,40.5444533,34.9522115,https://maps.google.com/?cid=2586053049392456639,,
Çorum,Iskilip Dolma Evi,Restoran,Lokanta,4.4,2631,"Ulukavak, Söğütlüevler Cd. 1/A, 19400 Çorum Merkez/Çorum",+90 364 626 26 26,2,40.562149,34.94524,https://maps.google.com/?cid=9020078210951723531,,
Çorum,Katipler Konağı Restaurant,Restoran,Lokanta,4.3,2187,"Karakeçili, Karakeçili 10. Sokak No:4, 19100 Çorum Merkez/Çorum",+90 532 236 39 19,2,40.5528852,34.955645499999996,https://maps.google.com/?cid=13624508192065928775,,
Çorum,Çakır Sami Tandır Kebap,Kebap Restoranı,Kebap,4.4,1773,"Gülabibey, Kubbeli Cd. No:87/a, 19100 Çorum Merkez/Çorum",+90 364 213 69 01,2,40.544753799999995,34.9507129,https://maps.google.com/?cid=16863262863098602835,,
Çorum,Şahhane Sofra,Restoran,Sulu Yemek,4.8,701,"Üçtutlar, Dr. İlhan Gürel Cd. 12/c, 19100 Çorum Merkez/Çorum",+90 364 225 05 51,2,40.5686415,34.9637933,https://maps.google.com/?cid=1624795916717663150,,
Çorum,Yenigül Lokantası (PAÇACI CEMAL),Restoran,Çorba|Sulu Yemek,4.5,811,"Çöplü, Akpınar Cd. 1/A, 19040 Çorum Merkez/Çorum",+90 364 227 67 77,2,40.555616099999995,34.9509392,https://maps.google.com/?cid=6603928946104215555,,
Çorum,Koza Çorba Çevreyolu Şube,Restoran,Çorba,4.5,757,"Ak Kent, Çevre Yolu Blv. No:52, 19100 Çorum Merkez/Çorum",+90 364 666 01 11,2,40.507252199999996,34.9098955,https://maps.google.com/?cid=13568997853978485979,,
Çorum,BEYOĞLU KEBAP,Aile restoranı,Kebap,4.8,448,"Bahçelievler, Bahabey Cd. 67 A, 19200 Çorum Merkez/Çorum",+90 364 221 56 93,2,40.545139999999996,34.9687371,https://maps.google.com/?cid=18281319559878021247,,
Çorum,Meşhur İskilip Dolmacısı,Restoran,Lokanta,4.9,384,"Çepni, Fen Lisesi Cd. No:2/B, 19000 Çorum Merkez/Çorum",+90 553 249 50 03,2,40.53861,34.9401054,https://maps.google.com/?cid=1276925453619425757,,
Denizli,Kebapçı Rıdvan - Meşhur Denizli Kebabı,Kebap Restoranı,Kebap,4.8,2573,"Saraylar, 2. Ticari Yol No:13/C, 20200 Merkez/Denizli",+90 534 362 96 45,2,37.7841126,29.0851586,https://maps.google.com/?cid=2786173027015997961,,
Denizli,KEBAPÇI KERİM SALUR -Meşhur Denizli Kebabı,Kebap Restoranı,Kebap,4.8,2022,"Saraylar, 357. Sk. No:10, 20010 Denizli Merkezefendi/Denizli",+90 543 792 47 92,2,37.7851001,29.0824827,https://maps.google.com/?cid=56003683162405576,,
Denizli,Meşhur Denizli Kebapçısı,Kebap Restoranı,Kebap,4.5,2521,"Topraklık, Halk Cd. No:22, 20150 Pamukkale/Denizli",+90 258 265 28 65,2,37.7832515,29.0898006,https://maps.google.com/?cid=2969787262145083538,,
Denizli,Hüsamettin Usta Kocabaylar Kebap Salonu,Kebap Restoranı,Kebap,4.4,2649,"Bayramyeri Kaleici, 486. Sk., 20010 Denizli Merkezefendi/Denizli",+90 258 241 40 60,2,37.7859527,29.083758299999996,https://maps.google.com/?cid=18371824905910129567,,
Denizli,Kebapçı Mehmet Kodalak - Denizli Kebabı,Kebap Restoranı,Kebap,4.8,1003,"Saraylar, 357. Sk. No:2, 20010 Denizli Merkezefendi/Denizli",+90 537 797 59 95,2,37.7855097,29.0828563,https://maps.google.com/?cid=11973708393926561161,,
Denizli,Mevlana Lokantası,Restoran,Sulu Yemek,4.6,978,"Sümer, 41. Sk. No:16, 20020 Denizli Merkez/Denizli",+90 538 561 78 03,2,37.793437399999995,29.092802000000002,https://maps.google.com/?cid=5580604142959728652,,
Denizli,Labada Gurme,Restoran,Lokanta,4.3,1080,"Adalet, Umutkent Sitesi NO:15, 20040 Denizli Merkezefendi/Denizli",+90 258 240 00 40,2,37.777964,29.024277599999998,https://maps.google.com/?cid=1520869285836551380,,
Denizli,Ranch Dürüm Evora Şubesi,Restoran,Döner,4.8,519,"Selçuk Bey, 15 Temmuz Şehitler Yolu No:6/86, 20030 Denizli Merkezefendi/Denizli",+90 551 373 20 20,2,37.7923925,29.0232626,https://maps.google.com/?cid=17280254182841441104,,
Denizli,Şölen Durağı Restaurant,Aile restoranı,Aile restoranı,4.9,416,"Kınıklı, Hüseyin Yılmaz Cd. No:50a, 20160 Pamukkale/Denizli",+90 555 699 20 20,1,37.7458899,29.0983701,https://maps.google.com/?cid=5329595140673754327,,
Denizli,Kebapçı Mehmet Usta,Kebap Restoranı,Kebap,4.4,549,"Saraylar, Eski, No:13/A, Saraylar, 20100 Denizli Merkezefendi/Denizli",+90 554 591 60 02,2,37.7852891,29.0831645,https://maps.google.com/?cid=7265795343004567382,,
Diyarbakır,Nasır Usta Adana Kebapçısı Diclekent Şubesi,Kebap Restoranı,Kebap,4.7,7320,"Peyas, 250. Sk. No:1, 21070 Kayapınar/Diyarbakır",+90 412 257 59 59,2,37.942585,40.182944899999995,https://maps.google.com/?cid=6127880783067239249,,
Diyarbakır,Nasır Usta Adana Kebapçısı,Kebap Restoranı,Kebap,4.7,3801,"Yenişehir, Ali Emiri Cd., 21100 Yenişehir/Diyarbakır",+90 412 223 41 43,2,37.9157282,40.2316171,https://maps.google.com/?cid=3450633384720024247,,
Diyarbakır,UMUT CİĞERCİSİ,Restoran,Lokanta,4.3,3235,"Lise caddesi 4 sokak yeşim apt.Altı, Yenişehir, 21120 Yenişehir/Diyarbakır",+90 412 228 17 63,2,37.9182363,40.2287344,https://maps.google.com/?cid=7477843722467742267,,
Diyarbakır,Nasır Usta 75 Şubesi,Kebap Restoranı,Kebap,4.6,1830,"75 yol üzeri Kayapınar Cd. Azel City Altı, Fırat, 21070 Kayapınar/Diyarbakır",+90 412 503 24 21,2,37.9246914,40.1498759,https://maps.google.com/?cid=31066344513469536,,
Diyarbakır,Tek Kapı Ciğercisi,Restoran,Ciğer,4.3,2484,"Yılmaz Günay Cad. 194. Sk. No: 16 | Kayapınar, Metropol 1 Sitesi Yanı Dicle Halk Evi Karşısı, Medya, 21070 Kayapınar/Diyarbakır",+90 531 930 55 60,2,37.9533822,40.1758074,https://maps.google.com/?cid=645786179671989073,,
Diyarbakır,Doğan Sofra Salonu,Türk restoranı,Sulu Yemek,4.3,1207,"Bağcılar, C, Bağcılar, Yeni Hal Cd. No:3, 21090 Bağlar/Diyarbakır",+90 412 251 53 91,2,37.9263879,40.172523399999996,https://maps.google.com/?cid=17768613325177033907,,
Diyarbakır,Beroş restaurant,Restoran,Lokanta,4.6,571,"Hasırlı, Yenikapı Sk. No:88, 21200 Sur/Diyarbakır",+90 538 697 63 53,2,37.9098633,40.2437932,https://maps.google.com/?cid=7102398222570220286,,
Diyarbakır,Gabo Kitchen,Restoran,Lokanta,4.5,544,"Medya mah. Yılsa Hakan sitesi No: 19BE, Gabo Kitchen, Medya, Zemin Kat, 21100 Kayapınar/Diyarbakır",+90 537 663 90 77,2,37.957589899999995,40.164827599999995,https://maps.google.com/?cid=10074391777662080987,,
Diyarbakır,Sultan Ocakbaşı,Restoran,Kebap,4.3,661,"Yenişehir, Ali Emiri 1. Sk., 21100 Yenişehir/Diyarbakır",+90 412 228 45 42,2,37.9169352,40.2336095,https://maps.google.com/?cid=5370817849090618256,,
Diyarbakır,Ciğerci Hacı Anzele (Başka şubemiz yoktur),Restoran,Ciğer,4.6,211,"Melikahmet, 21300 Sur/Diyarbakır",+90 412 224 28 30,2,37.913165,40.2293048,https://maps.google.com/?cid=7318621820930009277,,
Edirne,Meşhur Edirne Ciğercisi Kazım ve İlhan Usta,Türk restoranı,Ciğer,4.5,3683,"Dilaverbey, Osmaniye Cd. No:69, 22030 Edirne Merkez/Edirne",+90 284 212 12 80,2,41.6737621,26.5526437,https://maps.google.com/?cid=9291123203325866844,,
Edirne,TARİHİ BAŞKENT KEBAPÇISI,Aile restoranı,Kebap,4.7,2394,"1. Murat, Haşim İşcan Cd. No:11, 22030 Edirne Merkez/Edirne",+90 284 235 14 44,2,41.661014,26.5833525,https://maps.google.com/?cid=10738309181113066034,,
Edirne,Saklı Bahçe | Edirne Kahvaltı | Paçanga Böreği | Menemen | Yöresel Lezzetler | Havuz | Şelale | Hobbit Evi,Kahvaltı restoranı,Çorba|Kahvaltı,4.5,1990,"Kapıkule Yolu Üzeri, 22130 Yenikadın/Edirne Merkez/Edirne",+90 545 484 12 24,2,41.6828716,26.4967912,https://maps.google.com/?cid=5390764834200987838,,
Edirne,Asma Altı Ocakbaşı Restaurant,Restoran,Kebap,4.4,1549,"Şehit Emniyet Müdürü Ertan Nezihi, İstasyon, Turan Dursun Cd. No:56, 22030 Edirne Merkez/Edirne",+90 284 212 87 12,,41.6635425,26.5732139,https://maps.google.com/?cid=8292331896753655111,,
Edirne,Edirne Ciğercisi Kemal Usta,Restoran,Ciğer,4.3,1460,"Mithat Paşa, Ortakapı Cd. No:3, 22020 Edirne Merkez/Edirne",+90 284 213 64 75,2,41.6754791,26.5523274,https://maps.google.com/?cid=8007033295811536528,,
Edirne,Bağbekleyen,Kebap Restoranı,Kebap,4.3,1228,"1. Murat, 28. Sk. No:17, 22030 Edirne Merkez/Edirne",+90 284 236 00 38,2,41.661187,26.582916899999997,https://maps.google.com/?cid=12240979703291167501,,
Edirne,Hüseyinin Yeri,Restoran,Lokanta,4.5,644,"1. Murat, 9. Sk., 22030 Edirne Merkez/Edirne",+90 284 236 20 06,2,41.664215,26.5832786,https://maps.google.com/?cid=8055771403408272182,,
Edirne,Ustam Yemek Salonu,Türk restoranı,Türk restoranı,4.4,728,"1. Murat, 21. Sk. No:33, 22030 Edirne Merkez/Edirne",+90 284 236 01 01,2,41.661121099999995,26.5832691,https://maps.google.com/?cid=4108250455121170530,,
Edirne,Gaziantep Eray dürüm evi,Kebap Restoranı,Kebap|Döner,4.9,258,"Sabuni, Lari Camii Sk. No:10, 22100 Edirne Merkez/Edirne",+90 543 261 49 07,2,41.673802099999996,26.554562299999997,https://maps.google.com/?cid=10732423177767681106,,
Edirne,Salih & Serkan Edirne Ciğercisi,Restoran,Ciğer,4.5,349,"Mithat Paşa, Orhaniye Cd. Kılıç İş Hanı No:6, 22020 Edirne Merkez/Edirne",+90 284 213 25 64,2,41.6756538,26.552192899999998,https://maps.google.com/?cid=12350815912018956959,,
Elazığ,KAVURMACI BEKİR USTA,Kaliteli yemek restoranı,Kaliteli yemek restoranı,4.6,1348,"Çarşı, Kuyumcular Sokak No 2, 23100 Elazığ Merkez/Elazığ",+90 424 234 06 57,2,38.67307780000001,39.225752799999995,https://maps.google.com/?cid=16641894563253353150,,
Elazığ,Kebapçı Cafer Usta,Restoran,Kebap,4.5,842,"Ataşehir, İmam Efendi Blv. :48/BC, 23040 Elazığ Merkez/Elazığ",+90 507 007 23 01,2,38.648969300000005,39.1918224,https://maps.google.com/?cid=7692342291800688072,,
Elazığ,Tarihi Adana Kebapçısı | Murat Özçelik,Restoran,Kebap,4.5,344,"Abdullahpaşa Mah. Saraybosna Cad.No:8O, D:8N, 23270, Abdullah Paşa, 23100 Elazığ Merkez/Elazığ",+90 424 212 10 01,2,38.6620847,39.1582588,https://maps.google.com/?cid=3469967449759915387,,
Elazığ,Melom Ev Yemekleri,Yiyecek,Sulu Yemek,4.8,156,"Rızaiye mahallesi Kıbrıs Şehitleri, Rızaiye, Kıbrıs Şehidi Mehmet Güçlü Cd. No:31/A, 23200 Elazığ Merkez/Elazığ",+90 424 213 85 85,,38.6794677,39.2245109,https://maps.google.com/?cid=6306946122897605280,,
Elazığ,HARPUT OCAKBAŞI LAHMACUN PIDE YÖRESEL YEMEKLER,Kebap Restoranı,Kebap|Lahmacun & Pide,4.5,205,"Çaydaçıra, Profesör Doktor Necmettin Erbakan Bulvarı No;5C, 23050 Elazığ Merkez/Elazığ",+90 536 451 43 23,2,38.6842469,39.1733671,https://maps.google.com/?cid=18346535077758034513,,
Elazığ,Tek Kebap Salonu,Kebap Restoranı,Kebap,4.4,157,"Yeni, Geçer Sk., 23200 Elazığ Merkez/Elazığ",+90 424 238 57 16,2,38.676103499999996,39.2178257,https://maps.google.com/?cid=3500103569597083412,,
Elazığ,Kebapçı Celal Usta'nın Yeri,Kebap Restoranı,Kebap,4.7,72,"Çarşı, Atatürk Okulu Sk. No:80, 23100 Elazığ Merkez/Elazığ",+90 424 233 14 25,2,38.6720385,39.2231412,https://maps.google.com/?cid=15925767069167669933,,
Elazığ,Ayşe Ananın Mutfağı,Aile restoranı,Aile restoranı,4.6,77,"Ataşehir, Kibar Sk. No:67, 23100 Elazığ Merkez/Elazığ",+90 535 860 97 43,2,38.65355950000001,39.1603974,https://maps.google.com/?cid=9819779764118958192,,
Elazığ,Babaoğul Lokantası,Restoran,Sulu Yemek,4.3,68,"Sanayi, 23300 Elazığ Merkez/Elazığ",+90 530 333 88 23,2,38.6668729,39.2445798,https://maps.google.com/?cid=5355016890466177093,,
